date,EPU Belgium (smoothed),EPU Belgium Dutch (smoothed)
2000-01-01,132.21381,118.26
2000-02-01,107.759,99.5875
2000-03-01,94.595652,88.73913
2000-04-01,94.331579,84.947368
2000-05-01,93.906364,91.055455
2000-06-01,84.906,71.889
2000-07-01,84.228,76.968
2000-08-01,63.731364,61.099091
2000-09-01,103.364286,98.680952
2000-10-01,87.123636,68.235
2000-11-01,89.255238,74.002857
2000-12-01,99.1225,78.549
2001-01-01,98.733182,89.801818
2001-02-01,106.2535,95.924
2001-03-01,110.465455,100.046818
2001-04-01,93.829,69.538
2001-05-01,79.575714,69.325714
2001-06-01,92.383,79.859
2001-07-01,90.155909,88.654091
2001-08-01,85.641364,84.977273
2001-09-01,115.8005,107.0295
2001-10-01,120.467826,105.410435
2001-11-01,110.530476,115.457143
2001-12-01,118.573158,108.036842
2002-01-01,98.142273,89.386818
2002-02-01,91.461,80.462
2002-03-01,83.726667,80.181905
2002-04-01,83.035238,72.795238
2002-05-01,70.4205,71.8575
2002-06-01,78.388,77.7625
2002-07-01,78.478696,90.294348
2002-08-01,93.731905,95.588571
2002-09-01,85.594762,93.972381
2002-10-01,92.40913,98.07087
2002-11-01,82.385789,82.778421
2002-12-01,98.715,114.9745
2003-01-01,90.552273,100.490455
2003-02-01,92.717,108.167
2003-03-01,94.917143,104.310476
2003-04-01,90.245238,97.45381
2003-05-01,103.325,124.4805
2003-06-01,85.407,95.6665
2003-07-01,91.098182,110.387273
2003-08-01,62.402,71.545
2003-09-01,81.002273,93.489091
2003-10-01,96.65913,120.156087
2003-11-01,75.848421,74.431053
2003-12-01,82.463333,97.36381
2004-01-01,89.789048,96.131429
2004-02-01,72.5075,75.846
2004-03-01,63.176522,67.261304
2004-04-01,63.538571,65.483333
2004-05-01,70.413684,79.589474
2004-06-01,80.663636,82.108636
2004-07-01,56.880952,69.194286
2004-08-01,47.614091,54.376364
2004-09-01,84.418182,103.617273
2004-10-01,80.314286,84.100476
2004-11-01,66.107,73.4525
2004-12-01,63.970455,69.655
2005-01-01,69.188095,73.34381
2005-02-01,66.927,69.7545
2005-03-01,60.624545,63.438182
2005-04-01,67.747619,65.130952
2005-05-01,86.2795,93.4975
2005-06-01,91.516818,89.117273
2005-07-01,57.678,58.1365
2005-08-01,49.852727,59.526818
2005-09-01,69.549545,70.721818
2005-10-01,70.166667,78.869524
2005-11-01,62.5895,64.528
2005-12-01,72.211364,71.586364
2006-01-01,64.925455,66.56
2006-02-01,74.3115,74.68
2006-03-01,63.06,60.209565
2006-04-01,60.398947,57.825263
2006-05-01,61.314762,62.836667
2006-06-01,61.197143,59.932381
2006-07-01,45.69,47.947
2006-08-01,41.826364,42.362727
2006-09-01,64.136667,66.362381
2006-10-01,51.563636,50.881364
2006-11-01,65.12619,68.560476
2006-12-01,65.44,62.3585
2007-01-01,54.512273,48.104545
2007-02-01,54.0235,45.9745
2007-03-01,54.799545,49.966364
2007-04-01,55.747,51.607
2007-05-01,64.107,68.104
2007-06-01,70.191429,69.859048
2007-07-01,62.247727,56.813182
2007-08-01,74.209091,77.983636
2007-09-01,97.8975,92.794
2007-10-01,70.862609,67.628696
2007-11-01,102.447619,108.875714
2007-12-01,115.986842,104.146842
2008-01-01,99.616364,102.396364
2008-02-01,92.8545,95.3075
2008-03-01,84.5785,87.204
2008-04-01,76.904091,76.351818
2008-05-01,89.4355,83.884
2008-06-01,104.562857,94.859524
2008-07-01,125.756364,123.785455
2008-08-01,77.2635,78.808
2008-09-01,119.065455,128.942273
2008-10-01,217.168696,234.447826
2008-11-01,201.543158,194.681579
2008-12-01,237.715238,273.412857
2009-01-01,214.639048,227.899048
2009-02-01,239.573,256.791
2009-03-01,217.883182,233.317273
2009-04-01,203.326667,204.654762
2009-05-01,187.724211,183.18
2009-06-01,215.578095,223.716667
2009-07-01,171.453636,180.230909
2009-08-01,134.796667,134.97
2009-09-01,164.659545,177.477727
2009-10-01,165.451176,171.321765
2009-11-01,154.803,158.864
2009-12-01,163.132857,165.138095
2010-01-01,169.8595,169.809
2010-02-01,151.6095,141.261
2010-03-01,127.427826,124.016957
2010-04-01,147.290476,135.02619
2010-05-01,192.581579,183.956842
2010-06-01,191.188636,163.282727
2010-07-01,117.899048,113.749048
2010-08-01,92.193182,96.392727
2010-09-01,119.943182,113.568636
2010-10-01,120.179524,111.352381
2010-11-01,117.3925,113.6205
2010-12-01,152.454545,138.842727
2011-01-01,147.37619,148.252857
2011-02-01,115.6415,112.3575
2011-03-01,109.09913,95.885652
2011-04-01,102.8895,87.068
2011-05-01,116.700909,107.916364
2011-06-01,164.509,131.198
2011-07-01,142.404,159.4845
2011-08-01,129.405909,146.163636
2011-09-01,137.027727,145.608182
2011-10-01,169.663158,163.964211
2011-11-01,196.007,207.7625
2011-12-01,165.781364,184.872727
2012-01-01,152.742273,151.972273
2012-02-01,132.613,132.0945
2012-03-01,112.563636,102.754545
2012-04-01,117.7875,104.8365
2012-05-01,134.7575,135.922
2012-06-01,149.358571,141.604286
2012-07-01,128.827727,121.788182
2012-08-01,104.701818,115.454545
2012-09-01,137.2945,123.979
2012-10-01,161.544783,166.905652
2012-11-01,165.965238,162.233333
2012-12-01,155.121579,137.037895
2013-01-01,151.825,140.810909
2013-02-01,126.2525,113.2385
2013-03-01,151.137143,131.387619
2013-04-01,128.945714,126.598571
2013-05-01,126.0335,124.3905
2013-06-01,147.258,150.267
2013-07-01,118.638261,115.581739
2013-08-01,94.529048,103.119524
2013-09-01,120.000476,130.367619
2013-10-01,115.348824,121.639412
2013-11-01,115.643684,105.75
2013-12-01,116.196,103.4455
2014-01-01,133.314091,119.839545
2014-02-01,120.618,101.58
2014-03-01,117.874286,106.136667
2014-04-01,114.120952,104.751429
2014-05-01,136.622,120.391
2014-06-01,117.5995,117.78
2014-07-01,98.34,90.235
2014-08-01,90.146,88.7085
2014-09-01,104.153182,101.296818
2014-10-01,127.549565,122.813478
2014-11-01,121.386842,118.472632
2014-12-01,105.178095,94.00381
2015-01-01,109.982381,96.354762
2015-02-01,102.339,89.8115
2015-03-01,98.19,87.426364
2015-04-01,85.54381,78.854286
2015-05-01,91.535,84.477778
2015-06-01,115.497727,105.681364
2015-07-01,112.988182,107.679091
2015-08-01,86.802857,80.357619
2015-09-01,116.48,115.310909
2015-10-01,83.155909,79.722727
2015-11-01,90.9875,90.1785
2015-12-01,78.440476,71.99
2016-01-01,98.417,87.789
2016-02-01,90.214,91.241
2016-03-01,84.134091,83.064091
2016-04-01,85.77381,75.012857
2016-05-01,80.677,73.7925
2016-06-01,107.830455,109.207727
2016-07-01,83.3345,70.4815
2016-08-01,56.091818,45.969545
2016-09-01,99.543182,93.087727
2016-10-01,98.935238,99.522381
2016-11-01,86.5085,89.9305
2016-12-01,90.863182,83.759091
2017-01-01,80.924545,69.675
2017-02-01,91.061,84.2115
2017-03-01,67.87913,62.951739
2017-04-01,64.301579,60.545789
2017-05-01,82.920476,77.897619
2017-06-01,72.962857,57.379048
2017-07-01,90.132,79.614
2017-08-01,81.030455,91.036364
2017-09-01,70.140476,70.214286
2017-10-01,83.380909,70.733636
2017-11-01,74.27,67.054286
2017-12-01,78.442,79.1125
2018-01-01,90.986364,89.372727
2018-02-01,76.063,71.2025
2018-03-01,80.287727,61.124545
2018-04-01,58.801,55.336
2018-05-01,86.359,85.1565
2018-06-01,82.920476,84.033333
2018-07-01,79.872727,70.522273
2018-08-01,63.585909,61.189545
2018-09-01,83.6485,64.786
2018-10-01,80.013043,72.929565
2018-11-01,92.417619,89.665714
2018-12-01,138.096316,127.052105
2019-01-01,93.949545,82.539091
2019-02-01,87.1715,78.6715
2019-03-01,90.39619,88.364286
2019-04-01,80.12381,74.89
2019-05-01,107.628095,107.037619
2019-06-01,77.977895,68.907368
2019-07-01,80.716957,77.124783
2019-08-01,69.981905,79.817143
2019-09-01,92.69,88.818095
2019-10-01,92.527826,90.884783
2019-11-01,92.263158,76.881053
2019-12-01,85.2685,65.8075
2020-01-01,96.789545,73.527727
2020-02-01,96.415,79.6095
2020-03-01,426.886818,484.617273
2020-04-01,551.094762,569.875238
2020-05-01,494.148947,514.358421
2020-06-01,380.75,332.31619
2020-07-01,286.436818,283.361364
2020-08-01,252.605714,258.650952
2020-09-01,241.396818,229.301364
2020-10-01,241.719091,208.183636
2020-11-01,252.9245,206.2125
2020-12-01,217.11381,206.577143
2021-01-01,226.1665,187.2015
2021-02-01,199.4525,165.466
2021-03-01,212.021304,167.275217
2021-04-01,180.815714,153.06619
2021-05-01,155.813684,121.324737
2021-06-01,156.749545,138.978636
2021-07-01,139.068571,134.098095
2021-08-01,104.892727,98.263636
2021-09-01,186.331364,163.369545
2021-10-01,158.304286,128.410476
2021-11-01,126.4055,121.6115
2021-12-01,143.715909,121.505455
2022-01-01,149.704762,125.785238
