date,GI_eng,HENRY_eng,LM_eng,nrc,sentinet,sentiword,socal
1993-01-01,-0.007789,0.005354,-0.031619,-0.00571,0.032785,-0.009849,0.120022
1994-01-01,0.014316,0.013966,-0.011262,0.027466,0.049671,0.001719,0.118339
1994-02-01,0.011453,0.013651,-0.013539,0.024224,0.048716,0.00081,0.115571
1994-03-01,0.011672,0.012682,-0.012882,0.025139,0.048069,0.001032,0.112628
1994-04-01,0.00918,0.012875,-0.012435,0.024653,0.045725,6.3e-05,0.11847
1994-05-01,0.011639,0.013777,-0.011785,0.025258,0.045822,0.001084,0.119385
1994-06-01,0.008743,0.011277,-0.013736,0.022483,0.044379,0.000845,0.117272
1994-07-01,0.011344,0.014343,-0.011946,0.026698,0.048076,0.001069,0.121932
1994-08-01,0.011066,0.013858,-0.012063,0.024327,0.048407,0.000801,0.121612
1994-09-01,0.01165,0.014592,-0.011052,0.027002,0.048642,0.001247,0.121646
1994-10-01,0.01139,0.014989,-0.010112,0.024662,0.049326,0.001144,0.120515
1994-11-01,0.011947,0.014079,-0.010229,0.025244,0.04952,0.001389,0.121917
1994-12-01,0.012468,0.014295,-0.010595,0.025917,0.04892,0.0011,0.121484
1995-01-01,0.009963,0.014427,-0.012611,0.023341,0.048419,0.00106,0.118067
1995-02-01,0.010232,0.013045,-0.014373,0.022206,0.048039,0.001109,0.114766
1995-03-01,0.010092,0.010786,-0.014439,0.021121,0.045949,3.9e-05,0.115754
1995-04-01,0.008698,0.011297,-0.01368,0.023862,0.045991,0.000306,0.117746
1995-05-01,0.01049,0.010884,-0.013785,0.02148,0.045561,0.00019,0.119516
1995-06-01,0.009489,0.008811,-0.015218,0.022424,0.043695,0.000156,0.114442
1995-07-01,0.01091,0.011287,-0.013335,0.022991,0.04752,0.00069,0.118276
1995-08-01,0.011763,0.011604,-0.011091,0.024702,0.048017,0.000593,0.122707
1995-09-01,0.011399,0.011872,-0.01254,0.026007,0.04738,0.000618,0.120596
1995-10-01,0.012893,0.010741,-0.012459,0.025914,0.049528,0.000957,0.123444
1995-11-01,0.012066,0.011315,-0.013602,0.023936,0.046672,0.000248,0.116274
1995-12-01,0.01017,0.010039,-0.015585,0.022601,0.046971,0.000666,0.115203
1996-01-01,0.012396,0.010549,-0.014974,0.022424,0.047414,0.000442,0.120925
1996-02-01,0.012317,0.010261,-0.013872,0.025463,0.047933,0.000721,0.114842
1996-03-01,0.011878,0.010615,-0.012802,0.021701,0.045405,0.000718,0.112824
1996-04-01,0.013626,0.012605,-0.0127,0.024689,0.045192,0.001131,0.118014
1996-05-01,0.01188,0.01505,-0.012423,0.02342,0.046684,0.001342,0.117541
1996-06-01,0.011162,0.012194,-0.013295,0.025636,0.047601,0.000669,0.119958
1996-07-01,0.010878,0.013178,-0.011873,0.02501,0.047348,0.000271,0.122228
1996-08-01,0.012244,0.012741,-0.01443,0.023509,0.045978,0.00132,0.118155
